-------,__fsid_t,dirent,enum (unnamed at /usr/include/dirent.h:97:1),__mbstate_t,_G_fpos_t,_G_fpos64_t,_IO_FILE,_IO_FILE,_IO_FILE,_IO_FILE,_IO_cookie_io_functions_t,div_t,ldiv_t,lldiv_t,__bswap_16,__bswap_32,__bswap_64,__uint16_identity,__uint32_identity,__uint64_identity,__sigset_t,timeval,timespec,fd_set,__pthread_internal_list,__pthread_internal_slist,__pthread_mutex_s,__pthread_rwlock_arch_t,__pthread_cond_s,__once_flag,random_data,drand48_data,__locale_struct,enum (unnamed at /usr/include/bits/confname.h:24:1),enum (unnamed at /usr/include/bits/confname.h:71:1),enum (unnamed at /usr/include/bits/confname.h:539:1),z_stream_s,gz_header_s,gzFile_s,gzFile_s,read_c_file,Buff,BuffDB,dbAppend,makeBuff,makeZBuff,catBuffs,maxBuff,minBuff,normCompDist,makeDB,writeDB,crawl_dir,main
__pthread_mutex_s,0.966867,0.837349,0.900602,0.855422,0.918675,0.918675,0.910876,0.910876,0.910876,0.910876,0.855422,0.906627,0.900602,0.900602,0.849398,0.852410,0.855422,0.912651,0.915663,0.912651,0.906627,0.858434,0.828313,0.828313,0.891566,0.891566,0.036145,0.591304,0.843373,0.927711,0.864458,0.819277,0.831325,0.940120,0.995177,0.968011,0.901499,0.882038,0.897590,0.897590,0.883333,0.927711,0.921687,0.903614,0.900602,0.897590,0.903614,0.924699,0.927711,0.909639,0.897590,0.918675,0.875000,0.900602
__pthread_rwlock_arch_t,0.965217,0.834783,0.915942,0.878261,0.921739,0.924638,0.889728,0.889728,0.889728,0.889728,0.863768,0.918841,0.907246,0.910145,0.872464,0.872464,0.860870,0.918841,0.915942,0.915942,0.895652,0.866667,0.820290,0.828986,0.895652,0.898551,0.597101,0.037681,0.843478,0.933333,0.869565,0.852174,0.831884,0.947826,0.994833,0.949930,0.910064,0.873995,0.898551,0.898551,0.872222,0.924638,0.927536,0.910145,0.895652,0.898551,0.907246,0.933333,0.933333,0.915942,0.898551,0.910145,0.875000,0.898551
__pthread_cond_s,0.929078,0.785311,0.843373,0.744681,0.801418,0.822695,0.925982,0.925982,0.925982,0.925982,0.736111,0.836879,0.822695,0.822695,0.773050,0.765957,0.773050,0.822695,0.822695,0.829787,0.787234,0.787234,0.849624,0.822967,0.758865,0.758865,0.840361,0.840580,0.049645,0.808511,0.812500,0.777174,0.785714,0.943114,0.994144,0.973574,0.918630,0.898123,0.787234,0.787234,0.897222,0.836879,0.801418,0.805195,0.780142,0.820809,0.780142,0.851064,0.851064,0.835366,0.860082,0.805556,0.898936,0.851282
__once_flag,0.812500,0.909605,0.879518,0.783019,0.701754,0.711864,0.962236,0.962236,0.962236,0.962236,0.861111,0.750000,0.777778,0.794521,0.854962,0.847328,0.847328,0.794118,0.794118,0.794118,0.629032,0.870968,0.909774,0.913876,0.703125,0.677966,0.924699,0.924638,0.808511,0.083333,0.901042,0.907609,0.892857,0.952096,0.995522,0.979138,0.959315,0.949062,0.821918,0.821918,0.950000,0.687500,0.719298,0.896104,0.882812,0.919075,0.900000,0.805556,0.805556,0.920732,0.942387,0.888889,0.936170,0.938462
random_data,0.958333,0.760417,0.854167,0.802083,0.869792,0.880208,0.912387,0.912387,0.912387,0.912387,0.750000,0.807292,0.807292,0.812500,0.817708,0.802083,0.817708,0.869792,0.854167,0.869792,0.901042,0.807292,0.819549,0.779904,0.843750,0.854167,0.852410,0.866667,0.802083,0.916667,0.052083,0.729167,0.767857,0.946108,0.994144,0.966620,0.884368,0.871314,0.854167,0.854167,0.891667,0.885417,0.875000,0.817708,0.822917,0.796875,0.822917,0.869792,0.869792,0.822917,0.839506,0.843750,0.893617,0.825641
drand48_data,0.951087,0.711957,0.869565,0.809783,0.880435,0.885870,0.918429,0.918429,0.918429,0.918429,0.777174,0.831522,0.804348,0.798913,0.809783,0.804348,0.804348,0.853261,0.853261,0.853261,0.858696,0.804348,0.804511,0.803828,0.864130,0.858696,0.819277,0.855072,0.782609,0.907609,0.729167,0.054348,0.732143,0.958084,0.996211,0.974965,0.901499,0.887399,0.820652,0.820652,0.900000,0.880435,0.880435,0.826087,0.826087,0.804348,0.826087,0.880435,0.875000,0.820652,0.843621,0.853261,0.901596,0.835897
__locale_struct,0.968750,0.767857,0.892857,0.821429,0.879464,0.883929,0.898792,0.898792,0.898792,0.898792,0.794643,0.861607,0.857143,0.857143,0.843750,0.839286,0.839286,0.883929,0.875000,0.883929,0.866071,0.830357,0.827068,0.776786,0.857143,0.848214,0.822289,0.831884,0.794643,0.892857,0.767857,0.741071,0.044643,0.967066,0.997933,0.977747,0.888651,0.865952,0.848214,0.848214,0.858333,0.879464,0.875000,0.821429,0.821429,0.803571,0.830357,0.883929,0.883929,0.839286,0.831276,0.861607,0.872340,0.825893
enum (unnamed at /usr/include/bits/confname.h:24:1),0.958084,0.940120,0.877245,0.943114,0.955090,0.964072,0.992447,0.992447,0.992447,0.992447,0.928144,0.952096,0.955090,0.958084,0.928144,0.922156,0.925150,0.961078,0.958084,0.961078,0.958084,0.937126,0.907186,0.925150,0.967066,0.964072,0.940120,0.939130,0.943114,0.952096,0.949102,0.958084,0.961078,0.053892,0.976576,0.948540,0.993576,0.986595,0.964072,0.964072,0.963889,0.970060,0.964072,0.964072,0.952096,0.967066,0.946108,0.958084,0.958084,0.949102,0.967066,0.958084,0.970745,0.982036
enum (unnamed at /usr/include/bits/confname.h:71:1),0.995177,0.994833,0.988288,0.993111,0.996555,0.996555,1.010334,1.010334,1.010334,1.010334,0.993800,0.995177,0.995177,0.995522,0.994488,0.994144,0.994144,0.996900,0.996900,0.996900,0.995866,0.991733,0.988977,0.994144,0.996211,0.995866,0.997933,0.994144,0.995177,0.996555,0.996211,0.999311,0.998967,0.978987,0.079917,0.986910,1.013090,1.007923,0.996900,0.996900,1.004823,0.997589,0.997589,0.998622,0.996900,0.998622,0.996211,0.997244,0.997589,0.997244,1.001378,0.999656,1.006545,1.002756
enum (unnamed at /usr/include/bits/confname.h:539:1),0.983310,0.970793,0.951321,0.970793,0.981919,0.983310,1.013908,1.013908,1.013908,1.013908,0.972184,0.970793,0.973574,0.972184,0.968011,0.968011,0.968011,0.979138,0.980529,0.980529,0.981919,0.963839,0.952712,0.966620,0.977747,0.977747,0.970793,0.955494,0.976356,0.981919,0.974965,0.977747,0.980529,0.948540,0.989321,0.101530,1.023644,1.009736,0.980529,0.980529,0.998609,0.983310,0.981919,0.981919,0.976356,0.983310,0.974965,0.981919,0.981919,0.984701,0.988873,0.980529,0.998609,0.997218
z_stream_s,0.985011,0.916488,0.959315,0.927195,0.946467,0.950749,0.906344,0.906344,0.906344,0.906344,0.907923,0.935760,0.933619,0.937901,0.929336,0.922912,0.927195,0.948608,0.946467,0.948608,0.957173,0.931477,0.914347,0.914347,0.935760,0.935760,0.888651,0.901499,0.920771,0.961456,0.886510,0.907923,0.873662,0.993576,1.011023,1.019472,0.034261,0.815846,0.931477,0.931477,0.882227,0.944326,0.948608,0.927195,0.916488,0.895075,0.922912,0.950749,0.950749,0.927195,0.931477,0.944326,0.905782,0.931477
gz_header_s,0.983914,0.908847,0.954424,0.927614,0.943700,0.949062,0.919940,0.919940,0.919940,0.919940,0.892761,0.930295,0.932976,0.935657,0.919571,0.916890,0.916890,0.938338,0.938338,0.938338,0.951743,0.924933,0.890080,0.898123,0.924933,0.922252,0.890080,0.887399,0.908847,0.965147,0.879357,0.908847,0.865952,0.986595,1.005167,1.006954,0.826552,0.042895,0.922252,0.922252,0.873995,0.941019,0.935657,0.911528,0.908847,0.882038,0.911528,0.930295,0.932976,0.906166,0.903485,0.927614,0.882979,0.914209
gzFile_s,0.876712,0.813559,0.879518,0.792453,0.726027,0.671233,0.944109,0.944109,0.944109,0.944109,0.812500,0.794521,0.767123,0.794521,0.801527,0.801527,0.786260,0.739726,0.739726,0.712329,0.698630,0.782258,0.887218,0.870813,0.712329,0.684932,0.894578,0.892754,0.794326,0.808219,0.843750,0.820652,0.852679,0.961078,0.996211,0.977747,0.925054,0.908847,0.054795,0.054795,0.919444,0.698630,0.726027,0.844156,0.781250,0.843931,0.814286,0.780822,0.780822,0.853659,0.905350,0.861111,0.922872,0.902564
gzFile_s,0.876712,0.813559,0.879518,0.792453,0.726027,0.671233,0.944109,0.944109,0.944109,0.944109,0.812500,0.794521,0.767123,0.794521,0.801527,0.801527,0.786260,0.739726,0.739726,0.712329,0.698630,0.782258,0.887218,0.870813,0.712329,0.684932,0.894578,0.892754,0.794326,0.808219,0.843750,0.820652,0.852679,0.961078,0.996211,0.977747,0.925054,0.908847,0.054795,0.054795,0.919444,0.698630,0.726027,0.844156,0.781250,0.843931,0.814286,0.780822,0.780822,0.853659,0.905350,0.861111,0.922872,0.902564
read_c_file,0.975000,0.894444,0.927778,0.922222,0.936111,0.950000,0.927492,0.927492,0.927492,0.927492,0.888889,0.925000,0.919444,0.922222,0.897222,0.897222,0.897222,0.919444,0.919444,0.922222,0.933333,0.925000,0.872222,0.883333,0.922222,0.919444,0.877778,0.888889,0.900000,0.947222,0.886111,0.900000,0.872222,0.961111,1.002411,0.997218,0.886510,0.849866,0.916667,0.916667,0.038889,0.922222,0.925000,0.869444,0.850000,0.844444,0.866667,0.905556,0.905556,0.888889,0.861111,0.877778,0.757979,0.875000
Buff,0.812500,0.870057,0.897590,0.820755,0.719298,0.728814,0.957704,0.957704,0.957704,0.957704,0.833333,0.779412,0.750000,0.780822,0.862595,0.847328,0.854962,0.779412,0.764706,0.779412,0.709677,0.846774,0.917293,0.904306,0.750000,0.711864,0.927711,0.927536,0.843972,0.687500,0.875000,0.885870,0.879464,0.967066,0.996900,0.980529,0.942184,0.932976,0.739726,0.739726,0.919444,0.083333,0.666667,0.844156,0.765625,0.838150,0.800000,0.722222,0.750000,0.853659,0.893004,0.854167,0.920213,0.882051
BuffDB,0.842105,0.881356,0.867470,0.792453,0.666667,0.694915,0.959215,0.959215,0.959215,0.959215,0.812500,0.720588,0.777778,0.780822,0.832061,0.824427,0.824427,0.720588,0.720588,0.720588,0.725806,0.822581,0.902256,0.880383,0.703125,0.677966,0.918675,0.924638,0.829787,0.701754,0.854167,0.869565,0.879464,0.958084,0.996211,0.979138,0.942184,0.932976,0.739726,0.739726,0.930556,0.649123,0.052632,0.785714,0.757812,0.815029,0.764286,0.694444,0.680556,0.804878,0.831276,0.812500,0.912234,0.856410
dbAppend,0.954545,0.830508,0.837349,0.831169,0.850649,0.857143,0.941088,0.941088,0.941088,0.941088,0.772727,0.831169,0.818182,0.818182,0.798701,0.792208,0.798701,0.837662,0.850649,0.857143,0.870130,0.824675,0.860902,0.822967,0.831169,0.831169,0.891566,0.901449,0.805195,0.896104,0.812500,0.804348,0.821429,0.949102,0.995522,0.973574,0.918630,0.900804,0.831169,0.831169,0.861111,0.857143,0.792208,0.051948,0.642857,0.676301,0.623377,0.785714,0.785714,0.707317,0.592593,0.538961,0.845745,0.646154
makeBuff,0.937500,0.830508,0.861446,0.781250,0.812500,0.820312,0.942598,0.942598,0.942598,0.942598,0.770833,0.804688,0.804688,0.812500,0.740458,0.740458,0.740458,0.757812,0.757812,0.765625,0.875000,0.796875,0.872180,0.842105,0.796875,0.804688,0.900602,0.898551,0.801418,0.882812,0.812500,0.826087,0.830357,0.958084,0.996900,0.979138,0.914347,0.906166,0.796875,0.796875,0.858333,0.773438,0.750000,0.655844,0.039062,0.468208,0.478571,0.679688,0.687500,0.695122,0.748971,0.756944,0.832447,0.764103
makeZBuff,0.971098,0.824859,0.861272,0.861272,0.872832,0.878613,0.944109,0.944109,0.944109,0.944109,0.791907,0.861272,0.838150,0.861272,0.803468,0.797688,0.797688,0.826590,0.826590,0.826590,0.924855,0.849711,0.860902,0.832536,0.878613,0.872832,0.891566,0.901449,0.843931,0.924855,0.791667,0.798913,0.803571,0.964072,0.997244,0.981919,0.899358,0.882038,0.855491,0.855491,0.847222,0.843931,0.832370,0.699422,0.473988,0.057803,0.618497,0.763006,0.763006,0.653179,0.740741,0.797688,0.851064,0.758974
catBuffs,0.935714,0.836158,0.837349,0.807143,0.828571,0.835714,0.945619,0.945619,0.945619,0.945619,0.784722,0.828571,0.814286,0.821429,0.742857,0.735714,0.742857,0.771429,0.764286,0.778571,0.885714,0.807143,0.864662,0.837321,0.814286,0.814286,0.903614,0.910145,0.801418,0.892857,0.807292,0.826087,0.830357,0.946108,0.996211,0.974965,0.920771,0.906166,0.821429,0.821429,0.872222,0.807143,0.778571,0.662338,0.492857,0.589595,0.028571,0.700000,0.707143,0.664634,0.744856,0.729167,0.848404,0.753846
maxBuff,0.875000,0.898305,0.867470,0.820755,0.805556,0.819444,0.965257,0.965257,0.965257,0.965257,0.826389,0.777778,0.777778,0.794521,0.801527,0.786260,0.786260,0.708333,0.694444,0.694444,0.833333,0.838710,0.909774,0.889952,0.791667,0.777778,0.921687,0.933333,0.858156,0.833333,0.864583,0.885870,0.888393,0.958084,0.997589,0.981919,0.948608,0.930295,0.780822,0.780822,0.913889,0.750000,0.708333,0.772727,0.671875,0.768786,0.707143,0.055556,0.152778,0.743902,0.851852,0.791667,0.901596,0.851282
minBuff,0.875000,0.898305,0.867470,0.830189,0.805556,0.819444,0.965257,0.965257,0.965257,0.965257,0.826389,0.777778,0.763889,0.794521,0.786260,0.778626,0.786260,0.708333,0.694444,0.708333,0.833333,0.838710,0.909774,0.889952,0.791667,0.791667,0.924699,0.936232,0.858156,0.833333,0.869792,0.891304,0.892857,0.958084,0.997589,0.981919,0.948608,0.930295,0.780822,0.780822,0.913889,0.750000,0.736111,0.772727,0.679688,0.774566,0.714286,0.152778,0.055556,0.725610,0.855967,0.791667,0.901596,0.851282
normCompDist,0.963415,0.830508,0.843373,0.859756,0.865854,0.871951,0.951662,0.951662,0.951662,0.951662,0.798781,0.865854,0.859756,0.865854,0.780488,0.774390,0.780488,0.810976,0.804878,0.810976,0.902439,0.847561,0.860902,0.827751,0.859756,0.859756,0.903614,0.913043,0.841463,0.914634,0.828125,0.820652,0.825893,0.946108,0.996211,0.981919,0.927195,0.903485,0.853659,0.853659,0.886111,0.841463,0.804878,0.731707,0.676829,0.635838,0.646341,0.707317,0.707317,0.054878,0.744856,0.786585,0.869681,0.728205
makeDB,0.979424,0.876543,0.872428,0.884774,0.905350,0.913580,0.942598,0.942598,0.942598,0.942598,0.868313,0.893004,0.880658,0.884774,0.860082,0.851852,0.855967,0.880658,0.876543,0.880658,0.930041,0.880658,0.875940,0.843621,0.888889,0.893004,0.894578,0.907246,0.868313,0.942387,0.839506,0.855967,0.831276,0.961078,0.998967,0.986092,0.935760,0.898123,0.905350,0.905350,0.861111,0.905350,0.855967,0.621399,0.753086,0.757202,0.753086,0.851852,0.851852,0.765432,0.045267,0.699588,0.837766,0.687243
writeDB,0.937500,0.824859,0.807229,0.819444,0.847222,0.868056,0.947130,0.947130,0.947130,0.947130,0.784722,0.833333,0.819444,0.833333,0.791667,0.784722,0.791667,0.840278,0.840278,0.840278,0.875000,0.819444,0.860902,0.818182,0.847222,0.854167,0.906627,0.913043,0.805556,0.888889,0.828125,0.853261,0.857143,0.940120,0.996211,0.972184,0.940043,0.922252,0.840278,0.840278,0.863889,0.861111,0.826389,0.538961,0.756944,0.786127,0.736111,0.805556,0.805556,0.798781,0.674897,0.027778,0.875000,0.651282
crawl_dir,0.970745,0.872340,0.925532,0.914894,0.930851,0.930851,0.929003,0.929003,0.929003,0.929003,0.898936,0.930851,0.925532,0.930851,0.898936,0.898936,0.898936,0.920213,0.920213,0.920213,0.936170,0.920213,0.888298,0.885638,0.925532,0.922872,0.869681,0.882979,0.901596,0.944149,0.906915,0.906915,0.890957,0.970745,1.004823,0.995828,0.914347,0.880319,0.922872,0.922872,0.768617,0.925532,0.922872,0.853723,0.832447,0.848404,0.851064,0.901596,0.901596,0.875000,0.837766,0.888298,0.034574,0.856383
main,0.964103,0.861538,0.871795,0.866667,0.897436,0.907692,0.945619,0.945619,0.945619,0.945619,0.825641,0.882051,0.866667,0.876923,0.830769,0.830769,0.830769,0.871795,0.866667,0.871795,0.912821,0.876923,0.868421,0.813397,0.882051,0.882051,0.885542,0.910145,0.861538,0.938462,0.815385,0.820513,0.825893,0.973054,1.000345,0.990264,0.929336,0.908847,0.887179,0.887179,0.863889,0.882051,0.841026,0.661538,0.758974,0.764103,0.764103,0.841026,0.835897,0.748718,0.666667,0.646154,0.843085,0.046154
